english,spanish,english_sentence,spanish_sentence,POS,CEFR,ipa,family_size,frequency
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,2,3031
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,3,4316
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,1,1733
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,5,1638
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,4,2139
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,2,1693
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,1,944
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2387
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,3,4670
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,4,1582
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,2,3001
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1051
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,2,2944
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,3,2849
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1379
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,5,3463
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,3,2050
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,4,2914
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,4,1760
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,4,2178
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1347
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2735
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3569
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,2,1963
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,4,2159
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2446
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,1,2017
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,5,2891
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,1,1702
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1528
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,3032
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,4,1755
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,3,2865
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,4,4706
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,2,1640
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,4,2070
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,1,1938
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,1,2008
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,2,2949
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2317
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2157
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,2,1288
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,2,1633
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2731
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,4,2952
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,4,2356
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,2,1267
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,3,2170
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1578
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,2,2077
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,1,1123
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,6,5000
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,2,4447
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,3,2394
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,3,3076
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,2,1125
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,3,1750
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3481
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1501
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2913
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2086
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,3,1731
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,4,2346
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,3,4599
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,1,1936
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1080
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,3,3053
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1252
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,4,1035
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,2,3076
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,3,2083
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,1,2005
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2181
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,5,3458
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,4,1087
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1636
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,4,2771
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,3,1864
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,4,2045
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,4,3020
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,4,2978
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4456
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1350
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,2,1745
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2180
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,2,1736
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2221
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,3,3011
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,2,1749
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1679
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,3,4525
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,1,1257
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,2,2122
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2203
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,3,1832
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1357
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,1,1966
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,3,2104
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,4,3575
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2431
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,3,2236
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,2,2321
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,4,2836
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,3,2252
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,2,2299
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,2,1212
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,3,1101
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,1,1991
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,7,5000
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,3,1072
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,1,1292
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2123
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,3,1689
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,1,3081
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,2,4341
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,3,1228
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1068
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,3,2330
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,6,3895
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,3,1984
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4535
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,4,2125
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2402
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4698
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,3,1992
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,2,1274
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,4,2148
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,3,2313
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1642
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,2,3062
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,5,4020
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4443
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,6,3966
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,4,3531
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,3,2352
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,4,2442
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,3,2136
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,3,2775
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,4,1730
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,3,1041
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,1,3103
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2059
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,3,1956
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,5,3497
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,2,2484
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,2,1683
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1296
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2447
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,2,1659
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,3,1986
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,3,3005
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,1,1300
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,3,2428
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1241
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,2,1647
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,3,4443
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,3,3096
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,3,2231
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,7,5000
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4317
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,1,1085
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,6,5000
